StockCode,CurrentPrice,OptimalPrice,PriceChange(%),CurrentQuantity,EstimatedQuantity,CurrentRevenue,EstimatedRevenue,RevenueGain,RevenueGain(%),Elasticity
21314,1.85,1.69,-8.73,48,21,88.8,35.46,-53.34,-60.07,-5.0
21563,0.79,2.21,180.33,24,16,18.96,35.43,16.47,86.89,-5.03
84880,7.5,5.9,-21.27,2,6,15.0,35.43,20.43,136.18,-5.0
15044B,2.95,2.36,-20.0,3,15,8.85,35.4,26.55,300.0,-5.93
22175,2.95,2.36,-20.0,6,15,17.7,35.4,17.7,100.0,-5.91
21743,2.95,2.36,-20.0,2,15,5.9,35.4,29.5,500.0,-5.58
21452,2.95,2.36,-20.0,1,15,2.95,35.4,32.45,1100.0,-5.78
21708,4.95,3.92,-20.71,1,9,4.95,35.33,30.38,613.64,-4.67
22438,0.39,1.22,212.33,2,29,0.78,35.32,34.54,4428.77,-5.0
85125,4.95,3.92,-20.75,1,9,4.95,35.3,30.35,613.21,-4.89
21713,2.1,1.68,-20.0,2,21,4.2,35.28,31.08,740.0,-7.09
21749,2.1,1.68,-20.1,7,21,14.7,35.24,20.54,139.7,-6.64
18098C,2.95,2.34,-20.59,4,15,11.8,35.14,23.34,197.8,-6.18
23108,5.39,5.02,-6.92,12,7,64.68,35.12,-29.56,-45.7,-4.77
22230,0.29,0.44,51.3,2,80,0.58,35.1,34.52,5951.99,-9.11
90191,2.95,7.01,137.66,6,5,17.7,35.06,17.36,98.05,-2.6
23109,2.89,2.33,-19.28,6,15,17.34,34.99,17.65,101.81,-4.26
20931,1.25,2.5,99.95,1,14,1.25,34.99,33.74,2699.36,-4.3
23581,1.79,1.66,-7.04,40,21,71.6,34.94,-36.66,-51.2,-5.56
23241,2.08,1.66,-20.0,3,21,6.24,34.94,28.7,460.0,-7.0
71038,5.45,4.36,-20.0,1,8,5.45,34.88,29.43,540.0,-5.25
23033,1.45,1.16,-20.19,1,30,1.45,34.72,33.27,2294.19,-6.04
23560,2.89,2.31,-20.0,12,15,34.68,34.68,0.0,0.0,-4.98
23455,2.89,2.31,-20.0,2,15,5.78,34.68,28.9,500.0,-5.97
79337,0.38,0.56,46.84,1,62,0.38,34.6,34.22,9004.21,-4.68
22752,3.95,6.91,74.82,12,5,47.4,34.53,-12.87,-27.16,-4.72
90057,1.25,1.5,20.0,24,23,30.0,34.5,4.5,15.0,-0.15
23078,1.25,1.5,20.0,24,23,30.0,34.5,4.5,15.0,0.0
22384,1.65,1.33,-19.6,2,26,3.3,34.49,31.19,945.15,-5.65
22383,1.65,1.33,-19.65,10,26,16.5,34.47,17.97,108.92,-5.76
22469,1.65,1.32,-19.79,1,26,1.65,34.41,32.76,1985.55,-5.36
22329,1.65,1.32,-20.0,1,26,1.65,34.32,32.67,1980.0,-6.7
21207,1.65,1.32,-20.0,12,26,19.8,34.32,14.52,73.33,-6.06
23208,1.65,1.32,-20.03,10,26,16.5,34.31,17.81,107.91,-5.59
20727,1.65,1.32,-20.04,1,26,1.65,34.3,32.65,1979.04,-6.01
23171,1.65,1.36,-17.43,12,25,19.8,34.06,14.26,72.03,-3.89
22779,4.25,3.4,-20.0,4,10,17.0,34.0,17.0,100.0,-4.65
21428,4.25,3.4,-20.0,2,10,8.5,34.0,25.5,300.0,-6.11
22780,4.25,3.4,-20.0,4,10,17.0,34.0,17.0,100.0,-4.86
84820,0.79,3.09,291.18,16,11,12.64,33.99,21.35,168.94,-2.94
22299,0.39,1.21,211.11,48,28,18.72,33.97,15.25,81.48,-0.0
23131,4.15,3.39,-18.34,3,10,12.45,33.89,21.44,172.21,-4.95
84804A,0.79,2.11,167.49,12,16,9.48,33.81,24.33,256.65,-4.1
21242,1.45,1.35,-6.76,96,25,139.2,33.8,-105.4,-75.72,-5.66
23175,3.25,2.6,-20.1,4,13,13.0,33.76,20.76,159.67,-4.61
84916,4.95,3.07,-38.08,8,11,39.6,33.72,-5.88,-14.86,-2.65
23498,1.45,1.16,-20.0,12,29,17.4,33.64,16.24,93.33,-6.19
21426,2.1,1.68,-20.0,6,20,12.6,33.6,21.0,166.67,-6.48
22910,2.95,2.4,-18.67,12,14,35.4,33.59,-1.81,-5.11,-4.53
23173,9.95,8.36,-16.0,6,4,59.7,33.43,-26.27,-44.0,-3.74
22788,9.95,8.36,-16.0,1,4,9.95,33.43,23.48,236.0,-3.99
23083,3.75,3.03,-19.14,2,11,7.5,33.36,25.86,344.74,-4.47
22688,8.25,6.67,-19.19,1,5,8.25,33.33,25.08,304.04,-5.02
23494,5.95,4.76,-20.0,3,7,17.85,33.32,15.47,86.67,-4.31
22333,1.65,1.33,-19.3,8,25,13.2,33.29,20.09,152.18,-5.55
23338,2.08,1.66,-20.0,1,20,2.08,33.28,31.2,1500.0,-7.88
85016,0.65,1.45,122.34,9,23,5.85,33.24,27.39,468.21,-3.69
23283,8.25,6.65,-19.42,1,5,8.25,33.24,24.99,302.91,-4.73
22727,3.75,3.02,-19.42,4,11,15.0,33.24,18.24,121.59,-4.83
82494L,2.95,2.37,-19.56,6,14,17.7,33.22,15.52,87.69,-4.52
22502,2.0,4.74,137.17,1,7,2.0,33.2,31.2,1560.18,-4.14
22163,0.79,1.11,40.04,12,30,9.48,33.19,23.71,250.11,-4.1
23284,7.08,6.63,-6.29,10,5,70.8,33.17,-37.63,-53.15,-4.53
72802B,4.25,3.31,-22.06,1,10,4.25,33.12,28.87,679.4,-3.27
22554,1.65,1.32,-19.72,12,25,19.8,33.11,13.31,67.24,-5.35
23469,4.15,3.31,-20.27,2,10,8.3,33.09,24.79,298.66,-4.17
85185B,2.95,2.36,-20.0,2,14,5.9,33.04,27.14,460.0,-6.11
22934,2.95,2.36,-20.0,1,14,2.95,33.04,30.09,1020.0,-5.8
21424,2.95,2.36,-20.0,1,14,2.95,33.04,30.09,1020.0,-5.14
22085,2.95,2.36,-20.0,3,14,8.85,33.04,24.19,273.33,-5.7
15044C,2.95,2.36,-20.0,1,14,2.95,33.04,30.09,1020.0,-5.99
22933,2.95,2.36,-20.0,1,14,2.95,33.04,30.09,1020.0,-5.58
21937,2.95,2.36,-20.0,2,14,5.9,33.04,27.14,460.0,-5.64
22938,1.95,1.57,-19.4,1,21,1.95,33.01,31.06,1592.69,-3.94
84279P,3.75,3.0,-20.0,4,11,15.0,33.0,18.0,120.0,-5.89
84279B,3.75,3.0,-20.0,2,11,7.5,33.0,25.5,340.0,-6.28
22332,1.65,1.32,-20.0,8,25,13.2,33.0,19.8,150.0,-6.82
23490,3.75,3.0,-20.0,1,11,3.75,33.0,29.25,780.0,-4.77
23133,7.05,6.6,-6.38,10,5,70.5,33.0,-37.5,-53.19,-4.07
23529,3.75,3.0,-20.0,6,11,22.5,33.0,10.5,46.67,-4.29
22859,1.65,1.32,-20.0,12,25,19.8,33.0,13.2,66.67,-6.71
23583,1.65,1.32,-20.03,10,25,16.5,32.99,16.49,99.92,-5.82
22063,0.79,2.2,178.15,18,15,14.22,32.96,18.74,131.79,-5.84
21224,1.25,1.0,-20.15,1,33,1.25,32.94,31.69,2535.17,-5.94
48138,7.08,6.59,-6.96,10,5,70.8,32.93,-37.87,-53.48,-4.78
48194,8.25,6.58,-20.28,1,5,8.25,32.89,24.64,298.62,-4.81
21287,0.38,0.41,8.18,12,80,4.56,32.89,28.33,621.19,-4.91
48185,8.25,6.58,-20.3,1,5,8.25,32.88,24.63,298.52,-4.72
21107,2.55,2.35,-7.91,24,14,61.2,32.88,-28.32,-46.28,-5.86
85099B,2.08,1.64,-20.98,10,20,20.8,32.87,12.07,58.03,-4.24
48184,8.25,6.57,-20.34,1,5,8.25,32.86,24.61,298.31,-4.87
21844,2.95,2.34,-20.63,2,14,5.9,32.78,26.88,455.57,-3.75
22468,6.75,5.46,-19.18,2,6,13.5,32.73,19.23,142.45,-4.46
85099F,2.08,1.64,-21.32,10,20,20.8,32.73,11.93,57.36,-4.66
84978,1.25,0.99,-20.76,12,33,15.0,32.69,17.69,117.9,-3.89
35965,0.79,1.13,42.5,6,29,4.74,32.65,27.91,588.73,-6.83
21623,9.95,8.16,-18.0,1,4,9.95,32.64,22.69,228.0,-4.84
22890,9.95,8.16,-18.0,1,4,9.95,32.64,22.69,228.0,-4.62
37449,9.95,8.16,-18.0,1,4,9.95,32.64,22.69,228.0,-4.51
22687,8.25,6.52,-21.01,1,5,8.25,32.58,24.33,294.97,-3.89
22843,6.75,5.43,-19.58,2,6,13.5,32.57,19.07,141.26,-5.17
84678,2.55,1.81,-29.06,6,18,15.3,32.56,17.26,112.81,-2.81
23315,9.95,8.14,-18.21,3,4,29.85,32.55,2.7,9.05,-3.94
20711,2.08,1.63,-21.77,10,20,20.8,32.55,11.75,56.47,-4.68
84029G,4.25,3.25,-23.49,8,10,34.0,32.51,-1.49,-4.37,-4.99
23405,4.95,4.05,-18.23,4,8,19.8,32.38,12.58,63.53,-4.46
22865,2.1,1.7,-18.96,24,19,50.4,32.34,-18.06,-35.84,-4.72
22867,2.1,1.7,-19.1,2,19,4.2,32.28,28.08,668.54,-4.95
21523,7.08,6.45,-8.95,10,5,70.8,32.23,-38.57,-54.48,-4.49
22690,8.25,6.44,-21.97,1,5,8.25,32.19,23.94,290.15,-4.88
23110,5.75,4.6,-20.05,2,7,11.5,32.18,20.68,179.81,-5.52
48187,8.25,6.43,-22.0,1,5,8.25,32.17,23.92,289.98,-4.52
21524,8.25,6.43,-22.01,1,5,8.25,32.17,23.92,289.93,-4.75
22366,8.25,6.43,-22.07,2,5,16.5,32.14,15.64,94.81,-4.8
22424,12.75,10.71,-16.0,1,3,12.75,32.13,19.38,152.0,-4.68
85180A,9.13,2.47,-72.93,1,13,9.13,32.12,22.99,251.85,-1.79
22692,8.25,6.42,-22.14,2,5,16.5,32.12,15.62,94.66,-4.31
22485,10.95,10.7,-2.29,12,3,131.4,32.1,-99.3,-75.57,-3.13
23245,4.95,4.01,-18.97,4,8,19.8,32.09,12.29,62.06,-3.62
48188,8.25,6.41,-22.32,1,5,8.25,32.04,23.79,288.38,-4.57
21216,4.25,4.0,-5.77,24,8,102.0,32.04,-69.96,-68.59,-4.32
21198,1.65,1.1,-33.12,12,29,19.8,32.0,12.2,61.63,-2.1
21955,7.08,6.4,-9.66,10,5,70.8,31.98,-38.82,-54.83,-4.83
23313,4.95,3.99,-19.35,15,8,74.25,31.94,-42.31,-56.99,-3.54
20728,1.65,1.33,-19.36,10,24,16.5,31.93,15.43,93.54,-5.28
84687,5.95,4.56,-23.36,1,7,5.95,31.92,25.97,436.47,-3.4
23320,1.25,2.13,70.16,1,15,1.25,31.91,30.66,2452.44,-3.77
22412,2.1,1.68,-20.09,4,19,8.4,31.89,23.49,279.6,-5.81
85118,1.25,0.86,-31.14,36,37,45.0,31.85,-13.15,-29.22,-2.53
23317,9.95,7.96,-20.0,1,4,9.95,31.84,21.89,220.0,-3.65
23460,9.95,7.96,-20.0,1,4,9.95,31.84,21.89,220.0,-3.6
23397,9.95,7.96,-20.0,1,4,9.95,31.84,21.89,220.0,-3.92
23471,9.95,7.96,-20.0,2,4,19.9,31.84,11.94,60.0,-4.04
22505,4.95,3.98,-19.62,4,8,19.8,31.83,12.03,60.76,-4.89
23207,1.65,1.33,-19.63,10,24,16.5,31.83,15.33,92.9,-5.17
15058B,7.95,6.36,-20.0,1,5,7.95,31.8,23.85,300.0,-4.5
22825,7.95,6.36,-20.0,1,5,7.95,31.8,23.85,300.0,-4.5
20750,7.95,6.36,-20.0,2,5,15.9,31.8,15.9,100.0,-3.83
23316,9.95,7.94,-20.16,1,4,9.95,31.78,21.83,219.35,-3.9
17011F,0.65,0.91,39.49,24,35,15.6,31.73,16.13,103.42,-4.34
23411,4.95,3.96,-20.0,6,8,29.7,31.68,1.98,6.67,-4.49
21533,4.95,3.96,-20.0,6,8,29.7,31.68,1.98,6.67,-5.19
23424,4.95,3.96,-20.0,8,8,39.6,31.68,-7.92,-20.0,-4.03
22906,1.65,1.32,-20.0,1,24,1.65,31.68,30.03,1820.0,-6.34
85114B,1.65,1.32,-20.0,2,24,3.3,31.68,28.38,860.0,-6.65
23552,2.08,1.66,-20.0,6,19,12.48,31.62,19.14,153.33,-5.51
85159A,1.95,1.58,-18.95,1,20,1.95,31.61,29.66,1520.99,-3.55
23092,7.9,6.32,-20.0,4,5,31.6,31.6,0.0,0.0,-3.69
82484,4.8,6.3,31.28,12,5,57.6,31.51,-26.09,-45.3,-4.23
23111,12.5,10.5,-16.0,2,3,25.0,31.5,6.5,26.0,-4.47
47566B,4.95,3.93,-20.59,1,8,4.95,31.45,26.5,535.32,-4.1
23556,12.5,10.47,-16.2,3,3,37.5,31.42,-6.08,-16.2,-3.02
23016,7.85,6.28,-20.0,2,5,15.7,31.4,15.7,100.0,-3.69
22487,9.95,7.83,-21.31,1,4,9.95,31.32,21.37,214.78,-4.47
20712,2.08,1.65,-20.79,1,19,2.08,31.3,29.22,1404.92,-4.29
21260,3.25,2.6,-20.0,1,12,3.25,31.2,27.95,860.0,-5.25
22798,2.95,2.4,-18.7,36,13,106.2,31.18,-75.02,-70.64,-3.68
22697,2.95,2.4,-18.72,12,13,35.4,31.17,-4.23,-11.94,-4.18
21931,1.79,1.64,-8.38,10,19,17.9,31.16,13.26,74.09,-4.66
85031A,1.25,3.11,149.14,3,10,3.75,31.14,27.39,730.48,-6.69
21735,12.75,10.37,-18.63,1,3,12.75,31.12,18.37,144.11,-2.92
22698,2.95,2.39,-18.98,1,13,2.95,31.07,28.12,953.27,-4.28
90210D,1.0,1.35,35.0,10,23,10.0,31.05,21.05,210.5,4.17
21936,2.95,2.39,-19.1,10,13,29.5,31.03,1.53,5.17,-4.73
85099C,1.79,1.63,-8.81,10,19,17.9,31.01,13.11,73.26,-4.84
20704,1.95,3.88,98.76,8,8,15.6,31.01,15.41,98.76,-2.26
22086,2.95,2.37,-19.62,12,13,35.4,30.83,-4.57,-12.92,-4.19
85019C,1.25,2.2,76.0,48,14,60.0,30.8,-29.2,-48.67,-1.32
23071,1.5,10.25,583.33,48,3,72.0,30.75,-41.25,-57.29,-3.54
22303,2.55,2.05,-19.62,6,15,15.3,30.74,15.44,100.95,-3.83
21065,1.25,3.84,207.4,1,8,1.25,30.74,29.49,2359.19,-1.67
20725,1.45,1.34,-7.86,40,23,58.0,30.73,-27.27,-47.02,-4.85
22414,3.95,6.15,55.59,1,5,3.95,30.73,26.78,677.94,-4.89
71279,2.95,2.36,-20.0,4,13,11.8,30.68,18.88,160.0,-4.78
22327,2.95,2.36,-20.0,1,13,2.95,30.68,27.73,940.0,-5.98
21288,2.95,2.36,-20.0,1,13,2.95,30.68,27.73,940.0,-5.22
21250,2.95,2.36,-20.0,12,13,35.4,30.68,-4.72,-13.33,-6.2
23554,12.5,10.23,-18.2,3,3,37.5,30.68,-6.82,-18.2,-2.8
84766,5.95,3.83,-35.57,2,8,11.9,30.67,18.77,157.73,-0.35
21218,3.75,3.07,-18.23,1,10,3.75,30.66,26.91,717.67,-4.51
20726,1.65,1.33,-19.26,1,23,1.65,30.64,28.99,1757.13,-5.03
21208,0.39,0.48,22.29,1,64,0.39,30.52,30.13,7726.8,-6.8
35004C,5.45,4.36,-20.0,1,7,5.45,30.52,25.07,460.0,-4.74
23155,0.83,0.66,-20.2,6,46,4.98,30.47,25.49,511.81,-5.26
85114C,1.65,1.32,-20.0,5,23,8.25,30.36,22.11,268.0,-6.95
85114A,1.65,1.32,-20.0,8,23,13.2,30.36,17.16,130.0,-6.77
22858,1.65,1.32,-20.0,3,23,4.95,30.36,25.41,513.33,-6.71
23325,1.65,1.31,-20.37,3,23,4.95,30.22,25.27,510.47,-3.72
22729,3.75,3.02,-19.52,1,10,3.75,30.18,26.43,704.8,-4.68
84800S,1.25,0.97,-22.43,6,31,7.5,30.06,22.56,300.77,-4.65
23427,12.5,10.0,-20.0,1,3,12.5,30.0,17.5,140.0,-4.03
35599B,1.95,2.31,18.33,72,13,140.4,30.0,-110.4,-78.63,-3.73
23418,2.08,1.66,-20.0,1,18,2.08,29.95,27.87,1340.0,-4.63
23470,6.25,4.99,-20.15,2,6,12.5,29.94,17.44,139.55,-4.47
23555,12.5,9.97,-20.2,3,3,37.5,29.92,-7.58,-20.2,-2.16
23318,2.49,1.99,-20.13,12,15,29.88,29.83,-0.05,-0.17,-4.72
21929,1.79,1.66,-7.49,10,18,17.9,29.81,11.91,66.52,-4.41
37447,1.49,1.19,-20.0,12,25,17.88,29.8,11.92,66.67,-4.67
22071,3.75,2.98,-20.54,3,10,11.25,29.8,18.55,164.87,-4.47
22629,1.95,1.57,-19.68,12,19,23.4,29.76,6.36,27.17,-4.32
21243,1.69,1.35,-20.0,8,22,13.52,29.74,16.22,120.0,-5.51
21244,1.69,1.35,-20.0,4,22,6.76,29.74,22.98,340.0,-5.4
21928,2.08,1.65,-20.63,10,18,20.8,29.71,8.91,42.86,-4.41
22385,2.08,1.65,-20.81,10,18,20.8,29.65,8.85,42.54,-4.62
21792,3.95,3.7,-6.25,1,8,3.95,29.62,25.67,649.98,-3.59
20713,1.79,1.65,-8.09,10,18,17.9,29.61,11.71,65.44,-4.55
22119,1.95,4.93,153.01,12,6,23.4,29.6,6.2,26.5,-4.06
22386,1.79,1.64,-8.41,10,18,17.9,29.51,11.61,64.87,-4.12
85062,1.65,1.34,-18.78,24,22,39.6,29.48,-10.12,-25.55,-4.21
21930,2.08,1.64,-21.39,10,18,20.8,29.43,8.63,41.51,-4.9
21210,1.45,1.18,-18.82,12,25,17.4,29.43,12.03,69.12,-4.67
23039,1.95,1.55,-20.59,6,19,11.7,29.42,17.72,151.48,-4.62
15056N,5.95,4.9,-17.69,36,6,214.2,29.39,-184.81,-86.28,-4.14
35651,1.65,1.47,-11.02,2,20,3.3,29.36,26.06,789.84,-3.27
23192,1.65,1.33,-19.22,2,22,3.3,29.32,26.02,788.6,-5.41
22926,5.95,4.88,-18.0,2,6,11.9,29.27,17.37,146.0,-4.54
15036,0.83,0.65,-21.62,24,45,19.92,29.27,9.35,46.96,-3.76
22556,1.65,1.33,-19.38,12,22,19.8,29.27,9.47,47.81,-4.33
22662,1.65,1.33,-19.39,10,22,16.5,29.26,12.76,77.35,-5.28
23356,5.95,4.88,-18.03,3,6,17.85,29.26,11.41,63.93,-4.33
22382,1.65,1.33,-19.5,10,22,16.5,29.22,12.72,77.09,-5.17
22113,4.25,3.24,-23.7,4,9,17.0,29.18,12.18,71.68,-4.71
23433,0.83,0.66,-20.13,4,44,3.32,29.17,25.85,778.58,-4.91
22560,1.25,1.04,-16.91,24,28,30.0,29.08,-0.92,-3.06,-3.5
21112,2.95,2.24,-24.2,1,13,2.95,29.07,26.12,885.36,-1.91
20854,1.65,1.32,-20.0,3,22,4.95,29.04,24.09,486.67,-7.17
22892,1.25,1.0,-20.0,6,29,7.5,29.0,21.5,286.67,-4.6
23146,3.29,2.63,-20.05,1,11,3.29,28.94,25.65,779.5,-5.72
22946,8.0,9.6,20.0,2,3,16.0,28.8,12.8,80.0,2.24
15044D,2.95,2.39,-18.85,2,12,5.9,28.73,22.83,386.9,-4.75
22302,2.55,2.05,-19.54,12,14,30.6,28.72,-1.88,-6.13,-3.76
23247,2.89,2.39,-17.21,6,12,17.34,28.71,11.37,65.58,-4.32
22499,5.95,4.78,-19.65,3,6,17.85,28.69,10.84,60.71,-3.48
71101E,0.85,0.67,-21.6,12,43,10.2,28.66,18.46,180.95,-4.69
37343,0.39,1.19,206.15,10,24,3.9,28.66,24.76,634.77,-5.24
23012,3.95,3.18,-19.47,4,9,15.8,28.63,12.83,81.19,-4.98
84683,0.65,0.79,22.2,48,36,31.2,28.59,-2.61,-8.35,-1.45
21201,2.55,2.04,-20.0,12,14,30.6,28.56,-2.04,-6.67,-4.24
22301,2.55,2.04,-20.0,6,14,15.3,28.56,13.26,86.67,-4.0
21587,2.55,2.04,-20.0,4,14,10.2,28.56,18.36,180.0,-4.57
22747,2.1,1.68,-20.0,6,17,12.6,28.56,15.96,126.67,-6.82
22927,5.95,4.76,-20.0,2,6,11.9,28.56,16.66,140.0,-4.54
23311,2.55,2.04,-20.05,1,14,2.55,28.54,25.99,1019.26,-3.67
22486,3.95,9.51,140.74,6,3,23.7,28.53,4.83,20.37,-1.02
22791,1.25,1.02,-18.51,12,28,15.0,28.52,13.52,90.14,-3.73
22766,2.95,2.37,-19.66,8,12,23.6,28.44,4.84,20.52,-4.36
22778,3.95,3.16,-20.0,3,9,11.85,28.44,16.59,140.0,-5.01
23343,1.79,1.67,-6.61,30,17,53.7,28.42,-25.28,-47.08,-4.45
85232D,4.95,4.06,-18.0,1,7,4.95,28.41,23.46,474.0,-5.31
21658,3.95,3.15,-20.13,4,9,15.8,28.39,12.59,79.7,-4.74
23344,1.79,1.67,-6.76,20,17,35.8,28.37,-7.43,-20.75,-4.32
37450,2.95,2.36,-20.0,2,12,5.9,28.32,22.42,380.0,-5.14
22667,2.55,2.36,-7.45,24,12,61.2,28.32,-32.88,-53.73,-5.39
22137,2.95,2.36,-20.0,4,12,11.8,28.32,16.52,140.0,-4.78
22961,1.45,1.18,-18.64,12,24,17.4,28.31,10.91,62.73,-3.75
21199,1.65,1.13,-31.42,12,25,19.8,28.29,8.49,42.88,-2.36
22967,2.95,2.36,-20.09,6,12,17.7,28.29,10.59,59.82,-4.55
23419,2.08,1.66,-20.0,12,17,24.96,28.29,3.33,13.33,-4.63
23335,2.08,1.66,-20.0,4,17,8.32,28.29,19.97,240.0,-7.46
84817,0.39,1.18,202.11,48,24,18.72,28.28,9.56,51.05,-2.9
22895,3.25,2.56,-21.09,1,11,3.25,28.21,24.96,768.03,-4.21
22331,1.65,1.34,-18.78,8,21,13.2,28.14,14.94,113.21,-5.19
23132,5.75,4.68,-18.53,1,6,5.75,28.11,22.36,388.82,-4.36
22835,4.95,4.01,-18.91,4,7,19.8,28.1,8.3,41.9,-3.48
22109,3.75,3.12,-16.76,1,9,3.75,28.09,24.34,649.19,-4.96
22148,1.95,1.56,-20.0,12,18,23.4,28.08,4.68,20.0,-4.48
22466,1.95,1.56,-20.09,12,18,23.4,28.05,4.65,19.86,-3.24
21485,4.95,4.01,-19.06,3,7,14.85,28.04,13.19,88.85,-4.29
84356,1.95,4.67,139.69,12,6,23.4,28.04,4.64,19.85,-3.14
71459,0.85,0.68,-19.62,12,41,10.2,28.01,17.81,174.63,-4.37
23250,1.25,1.0,-20.0,3,28,3.75,28.0,24.25,646.67,-4.33
21870,1.25,1.0,-20.0,1,28,1.25,28.0,26.75,2140.0,-5.42
22200,1.25,3.11,148.8,2,9,2.5,27.99,25.49,1019.61,-5.22
22551,1.65,1.33,-19.29,12,21,19.8,27.97,8.17,41.24,-4.55
21128,1.95,5.59,186.62,8,5,15.6,27.95,12.35,79.14,-3.73
79302M,2.95,2.33,-21.08,6,12,17.7,27.94,10.24,57.83,-4.99
22114,4.25,3.49,-17.84,8,8,34.0,27.94,-6.06,-17.84,-4.24
22507,4.95,3.99,-19.42,1,7,4.95,27.92,22.97,464.05,-4.55
21116,8.29,3.98,-51.93,1,7,8.29,27.89,19.6,236.49,-4.42
22720,4.25,3.98,-6.24,16,7,68.0,27.89,-40.11,-58.98,-4.25
21730,4.95,3.98,-19.54,1,7,4.95,27.88,22.93,463.22,-3.71
22972,1.65,1.33,-19.56,2,21,3.3,27.87,24.57,744.66,-4.28
21621,8.5,6.97,-18.03,1,4,8.5,27.87,19.37,227.86,-3.36
85167B,1.25,2.78,122.57,7,10,8.75,27.82,19.07,217.96,-1.97
21206,1.65,1.26,-23.41,2,22,3.3,27.8,24.5,742.44,-3.53
23163,2.49,1.98,-20.46,8,14,19.92,27.73,7.81,39.2,-3.16
23321,1.65,1.32,-20.0,4,21,6.6,27.72,21.12,320.02,-5.72
21539,4.95,3.96,-20.0,1,7,4.95,27.72,22.77,460.0,-4.13
23537,4.95,3.96,-20.0,1,7,4.95,27.72,22.77,460.0,-4.37
85206A,1.65,1.32,-20.0,1,21,1.65,27.72,26.07,1580.0,-5.9
23332,1.65,1.32,-20.04,6,21,9.9,27.71,17.81,179.88,-5.44
22900,3.25,2.52,-22.53,53,11,172.25,27.7,-144.55,-83.92,-4.2
22178,1.95,1.15,-40.91,12,24,23.4,27.66,4.26,18.19,-3.52
15060B,2.95,3.07,4.16,18,9,53.1,27.66,-25.44,-47.92,-4.54
23426,2.89,2.3,-20.28,6,12,17.34,27.65,10.31,59.43,-4.52
84030E,4.25,3.45,-18.83,2,8,8.5,27.6,19.1,224.7,-5.18
85211,0.79,0.99,24.77,2,28,1.58,27.6,26.02,1646.78,-6.04
22842,6.75,5.51,-18.31,1,5,6.75,27.57,20.82,308.45,-5.02
22955,0.79,1.62,104.85,24,17,18.96,27.51,8.55,45.11,-5.45
22381,4.13,1.72,-58.45,1,16,4.13,27.46,23.33,564.83,-5.37
22725,3.75,3.05,-18.65,16,9,60.0,27.45,-32.55,-54.24,-4.67
21820,3.75,3.05,-18.72,6,9,22.5,27.43,4.93,21.91,-5.29
22374,4.25,3.42,-19.58,2,8,8.5,27.34,18.84,221.68,-5.45
22728,3.75,3.04,-19.0,4,9,15.0,27.34,12.34,82.26,-4.08
82483,6.95,5.47,-21.34,2,5,13.9,27.33,13.43,96.65,-3.56
23130,4.15,3.4,-17.97,7,8,29.05,27.24,-1.81,-6.25,-3.73
84946,1.25,1.01,-19.34,12,27,15.0,27.22,12.22,81.49,-3.59
23089,1.65,1.43,-13.23,36,19,59.4,27.2,-32.2,-54.2,-3.61
21391,0.75,0.8,6.67,1,34,0.75,27.2,26.45,3526.67,-4.67
22149,1.85,1.69,-8.39,28,16,51.8,27.12,-24.68,-47.65,-5.05
22059,0.39,1.04,167.27,12,26,4.68,27.1,22.42,479.08,-4.54
22465,0.79,1.23,55.82,24,22,18.96,27.08,8.12,42.84,-3.57
23053,8.25,6.76,-18.07,2,4,16.5,27.04,10.54,63.87,-4.07
23267,1.25,1.0,-20.0,1,27,1.25,27.0,25.75,2060.0,-4.33
84754,1.25,1.0,-20.0,3,27,3.75,27.0,23.25,620.0,-5.5
35241,4.25,3.84,-9.55,1,7,4.25,26.91,22.66,533.15,-5.31
23134,8.25,6.73,-18.46,1,4,8.25,26.91,18.66,226.17,-4.13
84661C,0.79,1.79,126.94,1,15,0.79,26.89,26.1,3304.05,1.21
22519,2.1,1.68,-20.0,10,16,21.0,26.88,5.88,28.0,-6.58
35810A,0.83,0.81,-1.87,6,33,4.98,26.88,21.9,439.74,-4.96
23226,1.25,1.0,-20.39,4,27,5.0,26.87,21.87,437.37,-2.63
23323,2.1,1.68,-20.03,1,16,2.1,26.87,24.77,1179.45,-5.83
23136,3.75,2.98,-20.45,4,9,15.0,26.85,11.85,79.0,-5.51
37327,0.39,0.34,-14.06,16,80,6.24,26.81,20.57,329.7,-4.66
23523,3.75,2.98,-20.56,6,9,22.5,26.81,4.31,19.16,-2.92
23200,2.08,1.67,-19.5,10,16,20.8,26.79,5.99,28.8,-4.19
23084,2.08,1.67,-19.61,12,16,24.96,26.75,1.79,7.18,-4.52
20749,6.35,6.68,5.17,84,4,533.4,26.71,-506.69,-94.99,-4.03
23269,1.45,1.16,-20.0,1,23,1.45,26.68,25.23,1740.0,-5.47
23497,1.45,1.16,-20.07,12,23,17.4,26.66,9.26,53.21,-4.57
35970,1.69,1.4,-16.98,12,19,20.28,26.66,6.38,31.45,-3.72
22950,1.45,1.16,-20.08,12,23,17.4,26.65,9.25,53.19,-3.13
22631,1.95,1.57,-19.62,12,17,23.4,26.64,3.24,13.87,-4.18
23559,2.08,1.66,-20.0,1,16,2.08,26.62,24.54,1180.0,-5.75
23106,0.79,2.21,180.21,2,12,1.58,26.56,24.98,1581.27,-3.81
22300,2.55,2.04,-20.0,6,13,15.3,26.52,11.22,73.33,-3.5
